Time/Myr,Avg_T/Celsius
0.0,20.0
1.0,20.0
2.0,20.0
3.0,20.0
4.0,20.0
5.0,20.0
6.0,20.0
7.0,20.0
8.0,20.0
9.0,20.0
10.0,20.0
11.0,20.0
12.0,20.0
13.0,20.0
14.0,20.0
15.0,20.0
16.0,20.0
17.0,20.0
18.0,20.0
19.0,20.0
20.0,20.0
21.0,20.0
22.0,20.0
23.0,20.0
24.0,20.0
25.0,20.0
26.0,20.0
27.0,20.0
28.0,20.0
29.0,20.0
30.0,20.0
31.0,20.0
32.0,20.0
33.0,20.0
34.0,20.0
35.0,20.0
36.0,20.0
37.0,20.0
38.0,20.0
39.0,20.0
40.0,20.0
41.0,20.0
42.0,20.0
43.0,20.0
44.0,20.0
45.0,20.0
46.0,20.0
47.0,20.0
48.0,20.0
49.0,20.0
50.0,20.0
