Time/Myr,Avg_T/Celsius,Min_T/Celsius,Max_T/Celsius,2xAvg_T/Celsius
0,9.0371,-1.69277,19.767,
0.5,9.15151,0,17,
1,9.23004,0,17,
1.5,9.30687,0,17,
2,9.38019,0,17,
2.5,9.45098,0,17,
3,9.52445,1,17,
3.5,9.59722,1,17,
4,9.66595,1,17,
4.5,9.7367,1,17,
5,9.80649,1,17,
5.5,9.87759,1,17,
6,9.94916,1,17,
6.5,10.0189,1,17,
7,10.0887,1,17,
7.5,10.1589,1,17,
8,10.2286,1,17,
8.5,10.2974,1,18,
9,10.3669,1,18,
9.5,10.4374,1,18,
10,10.5069,1,18,
10.5,10.5761,1,18,
11,10.6461,1,18,
11.5,10.7164,1,18,
12,10.7876,1,19,
12.5,10.8594,1,19,
13,10.9317,1,19,
13.5,11.0057,1,19,
14,11.0791,1,19,
14.5,11.1538,1,19,
15,11.2295,1,20,
15.5,11.3056,1,20,
16,11.3817,1,20,
16.5,11.4543,1,20,
17,11.5291,1,20,
17.5,11.6073,1,21,
18,11.6863,1,21,
18.5,11.7699,1,21,
19,11.8564,1,21,
19.5,11.9459,1,21,
20,12.045,1,22,
20.5,12.1464,1,22,
21,12.2559,1,22,
21.5,12.3727,1,23,
22,12.502,1,23,
22.5,12.6391,1,23,
23,12.7827,1,23,
23.5,12.9319,1,24,
24,13.09,1,24,
24.5,13.2525,1,24,
25,13.4309,1,24,
25.5,13.6298,1,25,
26,13.8408,1,25,
26.5,14.0785,1,26,
27,14.3293,2,26,
27.5,14.5957,1,27,
28,14.9021,1,27,
28.5,15.2243,2,28,
29,15.5746,2,28,
29.5,15.9591,2,29,
30,16.378,2,30,
30.5,16.8494,2,31,
31,17.3652,2,32,
31.5,17.9741,2,33,
32,18.6088,2,34,
32.5,19.3406,2,36,
33,20.1368,2,37,
33.5,21.0325,2,38,
34,22.0404,2,40,
34.5,23.1729,3,42,
35,24.4352,3,43,
35.5,25.8717,4,45,
36,27.419,4,47,
36.5,29.256,4,49,
37,31.4504,5,52,
37.5,34.0021,6,54,
38,36.9073,6,58,
38.5,40.1578,7,61,
39,43.976,9,66,
39.5,48.3784,13,72,
40,53.333,17,80,
40.5,58.2158,27,87,
41,62.261,38,88,
41.5,65.4403,47,89,
42,67.2292,52,90,
42.5,68.0246,51,91,
43,67.4754,49,91,
43.5,65.4981,46,90,
44,62.0283,43,88,
44.5,57.7405,40,81,
45,53.4527,37,74,
45.5,49.1649,33,68,
46,44.8771,30,61,
46.5,40.5893,26,55,
47,36.3015,22,50,
47.5,32.0137,18,45,
48,27.726,13,40,
48.5,24.6471,10,36,
49,22.7304,10,32,
