Time/Myr,Avg_T/Celsius,Min_T/Celsius,Max_T/Celsius,2xAvg_T/Celsius
0,45,42.75,47.25,
0.5,45.18,42.921,47.439,
1,45.36,43.092,47.628,
1.5,45.54,43.263,47.817,
2,45.72,43.434,48.006,
2.5,45.9,43.605,48.195,
3,46.08,43.776,48.384,
3.5,46.26,43.947,48.573,
4,46.44,44.118,48.762,
4.5,46.62,44.289,48.951,
5,46.8,44.46,49.14,
5.5,46.98,44.631,49.329,
6,47.16,44.802,49.518,
6.5,47.34,44.973,49.707,
7,47.52,45.144,49.896,
7.5,47.7,45.315,50.085,
8,47.88,45.486,50.274,
8.5,48.06,45.657,50.463,
9,48.24,45.828,50.652,
9.5,48.42,45.999,50.841,
10,48.6,46.17,51.03,
10.5,48.78,46.341,51.219,
11,48.96,46.512,51.408,
11.5,49.14,46.683,51.597,
12,49.32,46.854,51.786,
12.5,49.5,47.025,51.975,
13,49.68,47.196,52.164,
13.5,49.86,47.367,52.353,
14,50.04,47.538,52.542,
14.5,50.22,47.709,52.731,
15,50.4,47.88,52.92,
15.5,50.58,48.051,53.109,
16,50.76,48.222,53.298,
16.5,50.94,48.393,53.487,
17,51.12,48.564,53.676,
17.5,51.3,48.735,53.865,
18,51.48,48.906,54.054,
18.5,51.66,49.077,54.243,
19,51.84,49.248,54.432,
19.5,52.02,49.419,54.621,
20,52.2,49.59,54.81,
20.5,52.38,49.761,54.999,
21,52.56,49.932,55.188,
21.5,52.74,50.103,55.377,
22,52.92,50.274,55.566,
22.5,53.1,50.445,55.755,
23,53.28,50.616,55.944,
23.5,53.46,50.787,56.133,
24,53.64,50.958,56.322,
24.5,53.82,51.129,56.511,
25,54,51.3,56.7,
25.5,54.18,51.471,56.889,
26,54.36,51.642,57.078,
26.5,54.54,51.813,57.267,
27,54.72,51.984,57.456,
27.5,54.9,52.155,57.645,
28,55.08,52.326,57.834,
28.5,55.26,52.497,58.023,
29,55.44,52.668,58.212,
29.5,55.62,52.839,58.401,
30,55.8,53.01,58.59,
30.5,55.98,53.181,58.779,
31,56.16,53.352,58.968,
31.5,56.34,53.523,59.157,
32,56.52,53.694,59.346,
32.5,56.7,53.865,59.535,
