WW2253,WW2253,WW3373,WW3373,WW4531,WW4531,WW4912,WW4912,WW5476,WW5476
T_C,t_Myr,T_C,t_Myr,T_C,t_Myr,T_C,t_Myr,T_C,t_Myr
81.35,0,107.75,0,130.35,0,134.65,0,147.25,0
85.95,1,112.35,1,134.95,1,139.25,1,151.85,1
90.95,2,117.35,2,139.95,2,144.25,2,156.85,2
96.65,3,123.05,3,145.65,3,149.95,3,162.55,3
103.25,4,129.55,4,152.15,4,156.45,4,169.05,4
111.05,5,137.45,5,160.05,5,164.25,5,176.95,5
110.65,6,137.05,6,159.65,6,163.85,6,176.55,6
110.15,7,136.65,7,159.25,7,163.55,7,176.15,7
109.75,8,136.25,8,158.85,8,163.15,8,175.75,8
109.25,9,135.85,9,158.45,9,162.75,9,175.35,9
108.85,10,135.45,10,158.05,10,162.35,10,174.95,10
108.45,11,134.95,11,157.65,11,161.95,11,174.55,11
107.95,12,134.55,12,157.25,12,161.55,12,174.15,12
107.55,13,134.15,13,156.85,13,161.15,13,173.85,13
107.05,14,133.75,14,156.45,14,160.75,14,173.45,14
106.65,15,133.35,15,156.05,15,160.35,15,173.05,15
106.15,16,132.95,16,155.65,16,159.95,16,172.65,16
105.75,17,132.55,17,155.25,17,159.55,17,172.25,17
105.25,18,132.15,18,154.85,18,159.15,18,171.85,18
104.85,19,131.75,19,154.45,19,158.75,19,171.45,19
104.35,20,131.35,20,154.05,20,158.35,20,171.05,20
103.95,21,130.85,21,153.65,21,157.95,21,170.65,21
103.45,22,130.45,22,153.25,22,157.55,22,170.25,22
103.05,23,130.05,23,152.85,23,157.15,23,169.85,23
102.55,24,129.65,24,152.45,24,156.75,24,169.45,24
102.55,25,129.65,25,152.45,25,156.75,25,169.45,25
102.55,26,129.65,26,152.45,26,156.75,26,169.45,26
102.55,27,129.65,27,152.45,27,156.75,27,169.45,27
102.55,28,129.65,28,152.45,28,156.75,28,169.45,28
102.55,29,129.65,29,152.45,29,156.75,29,169.45,29
102.55,30,129.65,30,152.45,30,156.75,30,169.45,30
102.55,31,129.65,31,152.45,31,156.75,31,169.45,31
102.55,32,129.65,32,152.45,32,156.75,32,169.45,32
102.55,33,129.65,33,152.45,33,156.75,33,169.45,33
102.55,34,129.65,34,152.45,34,156.75,34,169.45,34
102.55,35,129.65,35,152.45,35,156.75,35,169.45,35
102.55,36,129.65,36,152.45,36,156.75,36,169.45,36
102.55,37,129.65,37,152.45,37,156.75,37,169.45,37
102.55,38,129.65,38,152.45,38,156.75,38,169.45,38
102.55,39,129.65,39,152.45,39,156.75,39,169.45,39
102.55,40,129.65,40,152.45,40,156.75,40,169.45,40
102.55,41,129.65,41,152.45,41,156.75,41,169.45,41
102.15,42,129.25,42,152.15,42,156.45,42,169.15,42
101.75,43,128.95,43,151.85,43,156.15,43,168.85,43
101.35,44,128.65,44,151.45,44,155.75,44,168.45,44
101.05,45,128.25,45,151.15,45,155.45,45,168.15,45
100.65,46,127.85,46,150.75,46,155.15,46,167.85,46
100.25,47,127.55,47,150.45,47,154.75,47,167.45,47
99.85,48,127.15,48,150.15,48,154.45,48,167.15,48
99.45,49,126.85,49,149.75,49,154.05,49,166.75,49
99.05,50,126.45,50,149.35,50,153.75,50,166.45,50
98.65,51,126.05,51,149.05,51,153.35,51,166.05,51
98.15,52,125.75,52,148.65,52,153.05,52,165.75,52
94.15,53,122.15,53,145.25,53,149.65,53,162.35,53
90.05,54,118.55,54,141.85,54,146.25,54,159.05,54
85.95,55,115.05,55,138.45,55,142.85,55,155.65,55
81.65,56,111.35,56,135.05,56,139.45,56,152.35,56
77.15,57,107.75,57,131.65,57,136.05,57,148.95,57
71.95,58,103.65,58,127.85,58,132.35,58,145.35,58
66.55,59,99.55,59,124.15,59,128.65,59,141.65,59
60.75,60,95.45,60,120.35,60,124.95,60,138.05,60
54.55,61,91.25,61,116.65,61,121.15,61,134.45,61
47.25,62,86.95,62,112.85,62,117.45,62,130.85,62
38.55,63,82.45,63,109.05,63,113.75,63,127.15,63
30.45,64,77.95,64,105.15,64,109.95,64,123.55,64
25.05,65,73.15,65,101.25,65,106.05,65,119.85,65
,,73.15,66,101.25,66,106.05,66,119.85,66
,,46.25,67,82.45,67,87.85,67,102.65,67
,,25.05,68,61.35,68,68.15,68,85.25,68
,,,,60.15,69,67.05,69,84.35,69
,,,,58.85,70,65.95,70,83.45,70
,,,,57.65,71,64.85,71,82.55,71
,,,,56.35,72,63.65,72,81.55,72
,,,,54.95,73,62.45,73,80.55,73
,,,,53.65,74,61.25,74,79.55,74
,,,,53.65,75,61.25,75,79.55,75
,,,,53.65,76,61.25,76,79.55,76
,,,,46.65,77,55.35,77,75.05,77
,,,,38.25,78,48.75,78,70.35,78
,,,,30.35,79,41.05,79,65.45,79
,,,,25.05,80,32.05,80,60.25,80
,,,,,,26.75,81,54.55,81
,,,,,,25.05,82,48.15,82
,,,,,,,,40.85,83
,,,,,,,,32.15,84
,,,,,,,,25.05,85
