exp,t_min,T_C,d13C_vpdb,d18O_vpdb,D47,D47_std,sample_id,mineralogy,reference,cull
1,0,385,-4.81,-9.35,0.553,0.008,MBG-CC-1,Calcite,Passey & Henkes (2012),
1,31,385,-4.81,-9.35,0.531,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
1,61,385,-4.82,-9.37,0.524,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
1,121,385,-4.8,-9.36,0.499,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
1,242,385,-4.81,-9.38,0.51,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
1,944,385,-4.82,-9.3,0.475,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
1,2729,385,-4.83,-9.37,0.469,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,0,405,-4.81,-9.35,0.553,0.008,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,30,405,-4.82,-9.39,0.52775,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,61,405,-4.81,-9.36,0.507,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,90,405,-4.82,-9.38,0.4845,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,124,405,-4.82,-9.41,0.483,0.019,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,239,405,-4.82,-9.35,0.4935,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,449,405,-4.81,-9.39,0.464,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,1349,405,-4.82,-9.36,0.4385,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,2827,405,-4.82,-9.38,0.4255,0.014,MBG-CC-1,Calcite,Passey & Henkes (2012),
2,8608,405,-4.82,-9.38,0.351,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
3,0,425,-4.81,-9.35,0.553,0.008,MBG-CC-1,Calcite,Passey & Henkes (2012),
3,30,425,-4.84,-9.38,0.4865,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
3,50,425,-4.82,-9.39,0.463,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
3,70,425,-4.79,-9.36,0.4805,0.026,MBG-CC-1,Calcite,Passey & Henkes (2012),
3,90,425,-4.82,-9.43,0.4645,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
3,110,425,-4.83,-9.42,0.464,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
3,120,425,-4.83,-9.39,0.4345,0.013,MBG-CC-1,Calcite,Passey & Henkes (2012),
