t_Myr,T_C
1.00E-06,550
1.01E-06,550
1.02E-06,550
1.03E-06,550
1.04E-06,550
1.05E-06,550
1.06E-06,550
1.07E-06,550
1.07E-06,550
1.08E-06,550
1.09E-06,550
1.10E-06,550
1.11E-06,550
1.12E-06,550
1.13E-06,550
1.14E-06,550
1.15E-06,550
1.17E-06,550
1.18E-06,550
1.19E-06,550
1.20E-06,550
1.21E-06,550
1.22E-06,550
1.23E-06,550
1.24E-06,550
1.25E-06,550
1.26E-06,550
1.28E-06,550
1.29E-06,550
1.30E-06,550
1.31E-06,550
1.32E-06,550
1.33E-06,550
1.35E-06,550
1.36E-06,550
1.37E-06,550
1.38E-06,550
1.40E-06,550
1.41E-06,550
1.42E-06,550
1.43E-06,550
1.45E-06,550
1.46E-06,550
1.47E-06,550
1.49E-06,550
1.50E-06,550
1.51E-06,550
1.53E-06,550
1.54E-06,550
1.55E-06,550
1.57E-06,550
1.58E-06,550
1.60E-06,550
1.61E-06,550
1.63E-06,550
1.64E-06,550
1.66E-06,550
1.67E-06,550
1.69E-06,550
1.70E-06,550
1.72E-06,550
1.73E-06,550
1.75E-06,550
1.76E-06,550
1.78E-06,550
1.79E-06,550
1.81E-06,550
1.83E-06,550
1.84E-06,550
1.86E-06,550
1.88E-06,550
1.89E-06,550
1.91E-06,550
1.93E-06,550
1.95E-06,550
1.96E-06,550
1.98E-06,550
2.00E-06,550
2.02E-06,550
2.04E-06,550
2.05E-06,550
2.07E-06,550
2.09E-06,550
2.11E-06,550
2.13E-06,550
2.15E-06,550
2.17E-06,550
2.19E-06,550
2.21E-06,550
2.23E-06,550
2.25E-06,550
2.27E-06,550
2.29E-06,550
2.31E-06,550
2.33E-06,550
2.35E-06,550
2.37E-06,550
2.39E-06,550
2.42E-06,550
2.44E-06,550
2.46E-06,550
2.48E-06,550
2.50E-06,550
2.53E-06,550
2.55E-06,550
2.57E-06,550
2.60E-06,550
2.62E-06,550
2.64E-06,550
2.67E-06,550
2.69E-06,550
2.72E-06,550
2.74E-06,550
2.76E-06,550
2.79E-06,550
2.82E-06,550
2.84E-06,550
2.87E-06,550
2.89E-06,550
2.92E-06,550
2.94E-06,550
2.97E-06,550
3.00E-06,550
3.03E-06,550
3.05E-06,550
3.08E-06,550
