tk,G_mean,G_std
0,0.97741117,0.075952104
1,0.907616555,0.074907297
2,0.849210767,0.07453649
3,0.797923235,0.073160862
4,0.752316637,0.072458637
5,0.712151802,0.072966962
6,0.676725061,0.074323309
7,0.640828986,0.075676214
8,0.61558821,0.076092759
9,0.587490986,0.076839389
10,0.567945093,0.075797425
11,0.547072189,0.075811594
12,0.527390025,0.075265806
13,0.510586894,0.075370775
14,0.495758722,0.074830168
15,0.477612121,0.074438172
16,0.46326643,0.073934305
17,0.451832415,0.074618663
18,0.442720416,0.075264965
19,0.433945909,0.075800805
20,0.424115121,0.076975026
21,0.415943738,0.078121421
22,0.410153104,0.076020091
23,0.405901999,0.075743008
24,0.39926827,0.073575449
